designation,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,bp_rp,bp_g,g_rp,l,b,distance
Gaia DR2 3451178227186797696,87.9424340069286,0.275215193333251,32.4023377540686,0.245267067467296,0.251666104743894,0.261483074934861,0.9624566,1.122795,0.4186611,0.704134,177.708777521958,2.9183433807253,11.3010177556324
Gaia DR2 3451196231691079168,87.8665766913483,0.125935798367749,32.6179150149163,0.113534436237791,0.216994256830805,0.135516337576918,1.601241,1.191441,0.4962406,0.6952,177.490343417293,2.97291697510637,11.3022508271707
Gaia DR2 3451178983101896320,87.931044128125,0.32096140468259,32.4100155382905,0.290107046960908,0.213258068489346,0.321436577995116,0.663453,1.151638,0.4848957,0.6667423,177.697261975633,2.91396687196961,11.3024629129677
Gaia DR2 3451178227186791040,87.9501864734144,0.433547120245775,32.3975975537894,0.388821679405806,-0.037750237187669,0.460836453018123,-0.08191678,1.56032,0.6446533,0.9156666,177.716196789164,2.92157014962142,11.3034741691268
Gaia DR2 3451196064190651904,87.8575412891529,0.035660988037977,32.5913201627588,0.03219138976101,0.829361587879951,0.034886046627049,23.77345,0.9343119,0.3754797,0.5588322,177.509388831034,2.9528305995442,11.3045497053686
Gaia DR2 3451196162971591936,87.8651566999003,0.348360621933616,32.6146779384648,0.314833292750022,-0.249001496853987,0.385857562318202,-0.6453197,1.325125,0.565218,0.7599068,177.492524339878,2.97024011557968,11.304776485381
Gaia DR2 3451174280114585216,88.1301200378285,1.88244552463821,32.3700982574747,1.59349039795569,-1.88374403434417,1.3189836705663,-1.428178,2.112844,0.910635,1.202209,177.817166383405,3.03852201479958,11.3049948893948
Gaia DR2 3451200874550586752,88.2998139531936,0.505426715217528,32.5608221617932,0.477021340852784,0.261873010822792,0.622579073546933,0.4206261,1.489033,0.5678902,0.9211426,177.725035143356,3.25854841492542,11.3061114221667
Gaia DR2 3451198435012455168,87.9539328488477,0.06164193597116,32.7106780586267,0.059081178129791,0.106694695280247,0.07147065811689,1.492846,0.8120604,0.3241272,0.4879332,177.447803193312,3.08340937667944,11.3063796961126
Gaia DR2 3451193070595033344,87.8556074629292,0.337089266548242,32.5828280385992,0.305981959245327,0.997796911696517,0.33699217204912,2.960891,1.377695,0.5717182,0.8059769,177.515878086745,2.94710590035127,11.3090529479873
Gaia DR2 3451198297573534208,87.9253871755915,0.033143426653435,32.692071779978,0.031006773783633,0.423491674508187,0.035363176507347,11.9755,0.6795435,0.258606,0.4209375,177.451624378447,3.05326558361914,11.3095404025756
Gaia DR2 3451177990966717696,87.9803761428579,1.15783484031024,32.3828109602173,1.02940753879107,1.02497708068995,0.947144526532015,1.082176,2.18689,0.9424534,1.244436,177.741921386611,2.93600954592655,11.309598580895
Gaia DR2 3451200423577930240,88.2888177716794,0.251756166270226,32.4941271640005,0.285619553993264,1.12304673676458,0.397608114448637,2.824507,1.419874,0.6384754,0.7813988,177.777973997444,3.2168279627885,11.3098198978863
Gaia DR2 3451175031731087872,88.0334544215267,0.444623124408434,32.3679733601795,0.418040762389146,0.182742156911323,0.47386183652543,0.3856444,1.323536,0.5584888,0.7650471,177.777519220689,2.96708734525123,11.3122895813884
Gaia DR2 3451206956225928448,88.2273232833091,1.31912843996524,32.6922740488168,0.848986591007837,0.745909056852737,1.45657761968493,0.512097,1.88582,0.5445538,1.341267,177.580523004548,3.27236595816765,11.3127159846459
Gaia DR2 3451219733752729984,88.1500919321852,1.81143290499087,32.7310455235886,1.15587331754836,NaN,NaN,NaN,NaN,NaN,NaN,177.514080707075,3.23595715021271,11.3128460414487
Gaia DR2 3451203279736019072,88.2871053226589,0.034639673961109,32.6165793917068,0.030594106620097,0.708966578499844,0.037506840773481,18.90233,0.8184052,0.3260975,0.4923077,177.671427906213,3.27749909019715,11.3131182477553
Gaia DR2 3451196064190653184,87.856737844357,0.112163587169385,32.5888692784309,0.102476610118935,0.563558755076001,0.111207515995051,5.067632,1.296898,0.5547371,0.7421608,177.51115635699,2.95100051280329,11.3155812143878
Gaia DR2 3451012338372367744,88.2764707275746,0.341865998411395,32.468592180178,0.336985685390836,0.549040037862062,0.417263534856564,1.315811,1.100679,0.322958,0.7777214,177.794761572013,3.19492869799519,11.3171596005744
Gaia DR2 3451198396360852224,87.9661031787041,11.0841879079853,32.7171473225472,5.10073324123263,NaN,NaN,NaN,0.1022339,-1.188414,1.290648,177.447433112034,3.09551597357236,11.317788291631
Gaia DR2 3451197915318643200,87.9080116812827,0.201594859712152,32.6773354768761,0.189148598235476,0.506096594441147,0.2253742234785,2.245583,1.173767,0.4716377,0.7021294,177.456886034264,3.03318031486325,11.318954800235
Gaia DR2 3451174383196215040,88.0774083337145,0.232326981316703,32.3643137478329,0.217430680034267,-0.064904943023698,0.253090227882366,-0.2564498,1.382862,0.503788,0.8790741,177.799545872935,2.99721755855897,11.3206812772428
Gaia DR2 3451196167269852672,87.8622640350456,0.034935432073581,32.6082177388024,0.031669617060498,0.640393511613527,0.03822093125767,16.75505,0.9479761,0.3889608,0.5590153,177.496851338216,2.96485508377871,11.3239995439479
Gaia DR2 3450988561433325952,88.2123982013058,0.223226422626422,32.4031032817082,0.203694785556468,2.48128063513736,0.247043128579909,10.04392,2.484619,1.240232,1.244387,177.82392373297,3.11514628985018,11.324070655614
Gaia DR2 3451218531161923712,88.1033701939815,0.131973842560682,32.7404203576559,0.124787360219578,0.453489688164646,0.152195166464486,2.979659,1.616594,0.7485561,0.8680382,177.486038397027,3.20682682618288,11.3278219520451
Gaia DR2 3451207883941341056,88.1895038526311,1.13302961773337,32.7160320350528,0.846795497790225,-0.02166687339877,1.1686510795716,-0.01854007,0.7520676,-0.3815002,1.133568,177.543865948685,3.25694436438009,11.3284759774818
Gaia DR2 3451203653402703616,88.2761846808366,0.395695883253339,32.6386203524057,0.315389895316129,-0.214772615679036,0.482182127097039,-0.445418,1.834511,0.7904072,1.044104,177.647722832927,3.28070877093796,11.3290096000355
Gaia DR2 3451178231483339904,87.9426771709636,0.69999916026558,32.4015807833688,0.636851440528661,1.89314724310442,0.746982553056681,2.534393,1.817812,0.6880474,1.129765,177.709534721125,2.91813531683877,11.330036108411
Gaia DR2 3450988703167825152,88.2290386894597,0.024790040387786,32.4148162372119,0.022345251418029,0.887205136178254,0.026172382816086,33.89853,1.041989,0.4415302,0.6004591,177.820930571641,3.13319137359995,11.3305829215823
